atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2021-12-23,2021-12-29,0,0.99,0,1.1,0,0,0,0,0,0.99,0,1.1,0,0,0,0,0
2021-12-22,2021-12-28,0,0.99,0.9,1.1,0,0,0,0,0,0.99,0.9,1.1,0,0,0,0,0
2021-12-21,2021-12-23,0,0.99,0,1.09,0.99,1,120000,119400,0.995,0.99,0,1.09,0.99,1,120000,0.995,-0.04808
2021-12-20,2021-12-22,0,1.04,1,1.05,1.02,1.04,420000,436400,1.03904762,1.04,1,1.05,1.02,1.04,420000,1.03905,-0.00952
2021-12-17,2021-12-21,0,1.05,0.92,1.05,0,0,0,0,0,1.05,0.92,1.05,0,0,0,0,0
2021-12-16,2021-12-20,0,1.05,0.76,1.05,0,0,0,0,0,1.05,0.76,1.05,0,0,0,0,0
2021-12-15,2021-12-17,0,1.05,0.98,1.05,0,0,1000,860,0.86,1.05,0.98,1.05,0,0,1000,0.86,0
2021-12-14,2021-12-16,0,1.05,0,1.05,0,0,0,0,0,1.05,0,1.05,0,0,0,0,0
2021-12-13,2021-12-15,0,1.05,0.99,1.1,1.01,1.05,940000,971200,1.03319149,1.05,0.99,1.1,1.01,1.05,940000,1.03319,0.0396
2021-12-10,2021-12-14,0,1.01,1.01,1.09,1,1.02,282000,286960,1.01758865,1.01,1.01,1.09,1,1.02,282000,1.01759,-0.06481
2021-12-09,2021-12-13,0,1.08,0,1.09,0,0,0,0,0,1.08,0,1.09,0,0,0,0,0
2021-12-08,2021-12-10,0,1.08,0.93,1.09,1.08,1.08,1921000,2074510,1.0799115,1.08,0.93,1.09,1.08,1.08,1921000,1.07991,-0.00917
2021-12-07,2021-12-09,0,1.09,0.94,1.09,1.09,1.09,710000,772000,1.08732394,1.09,0.94,1.09,1.09,1.09,710000,1.08732,-0.00909
2021-12-06,2021-12-08,0,1.1,0.7,1.1,1.1,1.1,25000,26350,1.054,1.1,0.7,1.1,1.1,1.1,25000,1.054,0.01852
2021-12-03,2021-12-07,0,1.08,0,1.1,1.08,1.08,60000,64800,1.08,1.08,0,1.1,1.08,1.08,60000,1.08,0
2021-12-02,2021-12-06,0,1.08,0,1.11,0,0,0,0,0,1.08,0,1.11,0,0,0,0,0
2021-12-01,2021-12-03,0,1.08,0.92,1.12,1.08,1.08,100000,108000,1.08,1.08,0.92,1.12,1.08,1.08,100000,1.08,0.08
2021-11-30,2021-12-02,0,1,1,1.12,1,1.08,162000,170240,1.0508642,1,1,1.12,1,1.08,162000,1.05086,-0.0991
2021-11-29,2021-12-01,0,1.11,1.02,1.11,0,0,2000,1980,0.99,1.11,1.02,1.11,0,0,2000,0.99,0
2021-11-26,2021-11-30,0,1.11,1.03,1.11,1.08,1.11,3002000,3303180,1.10032645,1.11,1.03,1.11,1.08,1.11,3002000,1.10033,0.07767
2021-11-25,2021-11-29,0,1.03,1.02,1.12,1.03,1.1,1360000,1424800,1.04764706,1.03,1.02,1.12,1.03,1.1,1360000,1.04765,-0.0463
2021-11-24,2021-11-26,0,1.08,1.06,1.1,1.08,1.11,304000,331440,1.09026316,1.08,1.06,1.1,1.08,1.11,304000,1.09026,0
2021-11-23,2021-11-25,0,1.08,1.08,1.1,1.07,1.08,100000,107800,1.078,1.08,1.08,1.1,1.07,1.08,100000,1.078,0.03846
2021-11-22,2021-11-24,0,1.04,1.04,1.1,0,0,0,0,0,1.04,1.04,1.1,0,0,0,0,0.00971
2021-11-19,2021-11-23,0,1.03,1.02,1.15,1.03,1.03,46000,46450,1.00978261,1.03,1.02,1.15,1.03,1.03,46000,1.00978,-0.08036
2021-11-18,2021-11-22,0,1.12,1.01,1.2,1.1,1.12,141000,155780,1.1048227,1.12,1.01,1.2,1.1,1.12,141000,1.10482,0.01818
2021-11-17,2021-11-19,0,1.1,1.05,1.12,1.08,1.1,820000,899200,1.09658537,1.1,1.05,1.12,1.08,1.1,820000,1.09659,0.02804
2021-11-16,2021-11-18,0,1.07,1.05,1.06,1.06,1.07,181000,193430,1.06867403,1.07,1.05,1.06,1.06,1.07,181000,1.06867,0
2021-11-15,2021-11-17,0,1.07,1.07,1.12,0,0,1000,1040,1.04,1.07,1.07,1.12,0,0,1000,1.04,0
2021-11-12,2021-11-16,0,1.07,1.07,1.08,0,0,0,0,0,1.07,1.07,1.08,0,0,0,0,0
2021-11-11,2021-11-15,0,1.07,1.07,1.12,0,0,1000,1040,1.04,1.07,1.07,1.12,0,0,1000,1.04,0
2021-11-10,2021-11-12,0,1.07,1.07,1.12,0,0,0,0,0,1.07,1.07,1.12,0,0,0,0,0
2021-11-09,2021-11-11,0,1.07,1.07,1.12,0,0,2000,2080,1.04,1.07,1.07,1.12,0,0,2000,1.04,0
2021-11-08,2021-11-10,0,1.07,1.07,1.12,0,0,14000,14480,1.03428571,1.07,1.07,1.12,0,0,14000,1.03429,0
2021-11-05,2021-11-09,0,1.07,1.07,1.12,0,0,0,0,0,1.07,1.07,1.12,0,0,0,0,0
2021-11-04,2021-11-08,0,1.07,1.06,1.11,1.05,1.09,280000,301800,1.07785714,1.07,1.06,1.11,1.05,1.09,280000,1.07786,-0.02727
2021-11-03,2021-11-05,0,1.1,1.04,1.11,0,0,0,0,0,1.1,1.04,1.11,0,0,0,0,0
2021-11-02,2021-11-04,0,1.1,1.05,1.1,1.1,1.11,220000,242800,1.10363636,1.1,1.05,1.1,1.1,1.11,220000,1.10364,-0.05172
2021-11-01,2021-11-03,0,1.16,1.1,1.16,1.1,1.17,271000,306810,1.13214022,1.16,1.1,1.16,1.1,1.17,271000,1.13214,0.09434
2021-10-29,2021-11-02,0,1.06,1.05,1.11,0,0,0,0,0,1.06,1.05,1.11,0,0,0,0,0
2021-10-28,2021-11-01,0,1.06,1.05,1.14,0,0,0,0,0,1.06,1.05,1.14,0,0,0,0,0
2021-10-27,2021-10-29,0,1.06,1.05,1.11,0,0,0,0,0,1.06,1.05,1.11,0,0,0,0,0
2021-10-26,2021-10-28,0,1.06,1.05,1.1,1.06,1.12,1580000,1722800,1.09037975,1.06,1.05,1.1,1.06,1.12,1580000,1.09038,-0.04505
2021-10-25,2021-10-27,0,1.11,1.08,1.12,1.07,1.2,3386000,3975340,1.17405198,1.11,1.08,1.12,1.07,1.2,3386000,1.17405,0.04717
2021-10-22,2021-10-26,0,1.06,1.05,1.25,1.05,1.06,2560000,2688600,1.05023438,1.06,1.05,1.25,1.05,1.06,2560000,1.05023,0
2021-10-21,2021-10-25,0,1.06,1.04,1.1,0,0,0,0,0,1.06,1.04,1.1,0,0,0,0,0
2021-10-20,2021-10-22,0,1.06,1.03,1.1,0,0,1000,1000,1,1.06,1.03,1.1,0,0,1000,1,0
2021-10-19,2021-10-21,0,1.06,1.02,1.1,1.03,1.06,2020000,2140600,1.05970297,1.06,1.02,1.1,1.03,1.06,2020000,1.0597,0.00952
2021-10-18,2021-10-20,0,1.05,1.02,1.13,1.01,1.05,2040000,2140400,1.04921569,1.05,1.02,1.13,1.01,1.05,2040000,1.04922,-0.0708
2021-10-15,2021-10-19,0,1.13,1.03,1.13,1.12,1.13,144000,162000,1.125,1.13,1.03,1.13,1.12,1.13,144000,1.125,0.08654
2021-10-12,2021-10-18,0,1.04,1.03,1.14,1.01,1.15,2900000,3238700,1.1167931,1.04,1.03,1.14,1.01,1.15,2900000,1.11679,0.04
2021-10-11,2021-10-15,0,1,0,1.15,1,1.04,2000000,2010400,1.0052,1,0,1.15,1,1.04,2000000,1.0052,0
2021-10-08,2021-10-12,0,1,0.8,1.15,0,0,0,0,0,1,0.8,1.15,0,0,0,0,0
2021-10-07,2021-10-11,0,1,0.78,1.05,0,0,0,0,0,1,0.78,1.05,0,0,0,0,0
2021-10-06,2021-10-08,0,1,0.8,1.03,1,1.01,60000,60400,1.00666667,1,0.8,1.03,1,1.01,60000,1.00667,-0.0099
2021-10-05,2021-10-07,0,1.01,1,1.26,0,0,8000,7820,0.9775,1.01,1,1.26,0,0,8000,0.9775,0
2021-10-04,2021-10-06,0,1.01,1,1.27,0,0,1000,970,0.97,1.01,1,1.27,0,0,1000,0.97,0
2021-09-30,2021-10-05,0,1.01,1,1.2,1.01,1.01,382000,385760,1.00984293,1.01,1,1.2,1.01,1.01,382000,1.00984,-0.0381
2021-09-29,2021-10-04,0,1.05,1,1.25,0,0,0,0,0,1.05,1,1.25,0,0,0,0,0
2021-09-28,2021-09-30,0,1.05,1.05,1.23,1,1.05,40000,41000,1.025,1.05,1.05,1.23,1,1.05,40000,1.025,-0.11765
2021-09-27,2021-09-29,0,1.19,1.15,1.26,1.18,1.25,410000,507100,1.23682927,1.19,1.15,1.26,1.18,1.25,410000,1.23683,-0.06299
2021-09-24,2021-09-28,0,1.27,1.2,1.27,1.27,1.27,35000,44000,1.25714286,1.27,1.2,1.27,1.27,1.27,35000,1.25714,0
2021-09-23,2021-09-27,0,1.27,1.12,1.27,0,0,0,0,0,1.27,1.12,1.27,0,0,0,0,0
2021-09-21,2021-09-24,0,1.27,1.14,1.28,0,0,0,0,0,1.27,1.14,1.28,0,0,0,0,0
2021-09-20,2021-09-23,0,1.27,1.13,1.27,0,0,0,0,0,1.27,1.13,1.27,0,0,0,0,0
2021-09-17,2021-09-21,0,1.27,1.16,1.27,1.27,1.27,24000,30100,1.25416667,1.27,1.16,1.27,1.27,1.27,24000,1.25417,0.00794
2021-09-16,2021-09-20,0,1.26,1.15,1.26,0,0,10000,11200,1.12,1.26,1.15,1.26,0,0,10000,1.12,0
2021-09-15,2021-09-17,0,1.26,1.21,1.28,0,0,4000,4600,1.15,1.26,1.21,1.28,0,0,4000,1.15,0
2021-09-14,2021-09-16,0,1.26,1.16,1.28,0,0,0,0,0,1.26,1.16,1.28,0,0,0,0,0
2021-09-13,2021-09-15,0,1.26,1.2,1.29,1.26,1.26,141000,177510,1.25893617,1.26,1.2,1.29,1.26,1.26,141000,1.25894,0
